"filename", "language", "JSON", "TypeScript", "JSON with Comments", "MS SQL", "TypeScript JSX", "JavaScript", "Markdown", "PowerShell", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\.eslintrc.json", "JSON with Comments", 0, 0, 73, 0, 0, 0, 0, 0, 0, 7, 8, 88
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 55, 241
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 16, 58
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 5, 11, 71
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\verify-email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 8, 35
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 2, 23
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\help\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 7, 12, 133
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\policies\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\select-role\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\api\doctors\[id]\route.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 12, 24, 126
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\api\doctors\route.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 8, 23, 150
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\appointment-requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 4, 7, 78
