"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "MS SQL", "JavaScript", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, -73, -7, -8, -88
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\layout.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, -1, 1
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\select-role\page.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 6, 5, 34
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\verify-email\VerifyEmailClient.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 2, 5, 30
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\verify-email\page.tsx", "TypeScript JSX", 0, -16, 0, 0, 0, 0, 0, -1, -7, -24
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\doctor-privacy-policy\page.tsx", "TypeScript JSX", 0, 98, 0, 0, 0, 0, 0, 2, 17, 117
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\healthcare-provider-terms\page.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 0, 0, 16, 17, 142
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\privacy-policy\page.tsx", "TypeScript JSX", 0, 92, 0, 0, 0, 0, 0, 12, 13, 117
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\select-role\page.tsx", "TypeScript JSX", 0, -10, 0, 0, 0, 0, 0, 0, -2, -12
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\terms-and-conditions\page.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 0, 0, 13, 14, 123
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\api\doctors\[id]\route.ts", "TypeScript", -90, 0, 0, 0, 0, 0, 0, -12, -24, -126
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\api\doctors\route.ts", "TypeScript", -119, 0, 0, 0, 0, 0, 0, -8, -23, -150
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\appointment-requests\AppointmentRequestsClient.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 10, 26, 189
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\appointment-requests\page.tsx", "TypeScript JSX", 0, -20, 0, 0, 0, 0, 0, -3, 3, -20
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\[doctorId]\edit\page.tsx", "TypeScript JSX", 0, -46, 0, 0, 0, 0, 0, 0, -7, -53
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\create\page.tsx", "TypeScript JSX", 0, -16, 0, 0, 0, 0, 0, 0, -3, -19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\page.tsx", "TypeScript JSX", 0, -32, 0, 0, 0, 0, 0, 0, -6, -38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctors-verification\DoctorsVerificationClient.tsx", "TypeScript JSX", 0, 166, 0, 0, 0, 0, 0, 28, 22, 216
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctors-verification\page.tsx", "TypeScript JSX", 0, -3, 0, 0, 0, 0, 0, -1, 0, -4
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctors\DoctorsPageClient.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 0, 0, 14, 13, 121
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctors\[doctorId]\edit\page.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 7, 53
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctors\create\page.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctors\page.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 2, 6, 57
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -6, -2, -8
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\page.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 3, 1, 12
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\patients\PatientsClientPage.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 15, 9, 95
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\patients\page.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 3, 7, 61
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\cancel\route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 5, 9, 41
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\complete\route.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 8, 8, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\confirm\route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 5, 9, 41
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\reschedule\route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 8, 12, 54
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\route.ts", "TypeScript", -15, 0, 0, 0, 0, 0, 0, -11, -4, -30
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\route.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, -7, 8, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\login\route.ts", "TypeScript", -17, 0, 0, 0, 0, 0, 0, 0, -6, -23
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\logout\route.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\request\route.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\resend-email\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 4, 11, 51
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\verify-email\route.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 2, 6, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\verify\route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 1, 7
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\password\forgot\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\password\reset\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\refresh\route.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 10, 5, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\register\route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 2, -1, 2
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\select-role\route.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 3, 6, 31
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\active\route.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\availability\route.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 8, 25, 117
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\preferences\route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 1, 3, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\profile\route.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 2, 4, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\appointments-public\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 2, 10, 48
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\availability-public\route.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 1, 9, 40
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\route.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 0, 10, -3, 0
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\verify\route.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, -5, -1, -15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, -3, 4
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\files\[...path]\route.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 4, 19, 77
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\me\preferences\route.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 8, 23, 103
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, -2, 0, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\context\AuthContext.tsx", "TypeScript JSX", 0, -38, 0, 0, 0, 0, 0, -22, -9, -69
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\AppointmentQueueSkeleton.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 1, 1, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\[id]\AppointmentsDetailsSkeleton.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 5, 4, 53
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\[id]\page.tsx", "TypeScript JSX", 0, 190, 0, 0, 0, 0, 0, 11, 15, 216
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\page.tsx", "TypeScript JSX", 0, 81, 0, 0, 0, 0, 0, 4, 10, 95
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\availability\page.tsx", "TypeScript JSX", 0, 160, 0, 0, 0, 0, 0, 12, 24, 196
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\page.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 5, 4, 57
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\earnings\page.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 0, 0, 3, 7, 80
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\layout.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 1, 8, 46
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\onboarding\page.tsx", "TypeScript JSX", 0, 195, 0, 0, 0, 0, 0, 11, 16, 222
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\page.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 10, 9, 90
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\clinic\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\layout.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\page.tsx", "TypeScript JSX", 0, -13, 0, 0, 0, 0, 0, 1, -2, -14
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\personal\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
