"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "MS SQL", "PowerShell", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\AGENTS.md", "Markdown", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 241
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\README.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 58
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\layout.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 5, 10, 72
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\select-role\page.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 5, 34
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\verify-email\VerifyEmailClient.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 5, 30
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\verify-email\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\about\page.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 2, 23
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\doctor-privacy-policy\page.tsx", "TypeScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 0, 2, 17, 117
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\healthcare-provider-terms\page.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 0, 16, 17, 142
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\help\page.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 0, 7, 12, 133
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\policies\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\privacy-policy\page.tsx", "TypeScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 12, 13, 117
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\terms-and-conditions\page.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 13, 14, 123
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\appointment-requests\AppointmentRequestsClient.tsx", "TypeScript JSX", 0, 0, 0, 153, 0, 0, 0, 0, 0, 10, 26, 189
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\appointment-requests\page.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 10, 58
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\clinics\page.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 4, 7, 80
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
